period,index
2017.11.8,37.9264
2017.11.9,37.3042
2017.11.10,32.7595
2017.11.11,22.8277
2017.11.12,23.6851
2017.11.13,37.6487
2017.11.14,37.6993
2017.11.15,35.4278
2017.11.16,35.2486
2017.11.17,32.5893
2017.11.18,22.7943
2017.11.19,23.8792
2017.11.20,37.9449
2017.11.21,37.2663
2017.11.22,36.7471
2017.11.23,36.3362
2017.11.24,32.8291
2017.11.25,23.0462
2017.11.26,23.6864
2017.11.27,36.7055
2017.11.28,37.1701
2017.11.29,36.3543
2017.11.30,35.1908
2017.12.1,31.5717
2017.12.2,22.9911
2017.12.3,23.9
2017.12.4,37.032
2017.12.5,37.0803
2017.12.6,36.3037
2017.12.7,35.2992
2017.12.8,32.1866
2017.12.9,22.4521
2017.12.10,23.951
2017.12.11,36.0649
2017.12.12,35.4333
2017.12.13,35.1994
2017.12.14,33.9488
2017.12.15,30.3351
2017.12.16,22.1044
2017.12.17,22.2529
2017.12.18,35.3163
2017.12.19,34.0422
2017.12.20,33.4716
2017.12.21,32.15
2017.12.22,27.7173
2017.12.23,19.9323
2017.12.24,18.7611
2017.12.25,21.4615
2017.12.26,32.5406
2017.12.27,31.7771
2017.12.28,30.3951
2017.12.29,25.1985
2017.12.30,19.6596
2017.12.31,17.2586
2018.1.1,19.1408
2018.1.2,32.1234
2018.1.3,33.9059
2018.1.4,33.0918
2018.1.5,30.9504
2018.1.6,23.0205
2018.1.7,22.1076
2018.1.8,35.3258
2018.1.9,35.6919
2018.1.10,35.0666
2018.1.11,34.2165
2018.1.12,31.3166
2018.1.13,22.1825
2018.1.14,21.9315
2018.1.15,34.663
2018.1.16,35.9764
2018.1.17,36.0166
2018.1.18,34.4562
2018.1.19,31.1333
2018.1.20,22.6963
2018.1.21,23.1772
2018.1.22,35.3904
2018.1.23,35.3768
2018.1.24,35.203
2018.1.25,34.6337
2018.1.26,31.5956
2018.1.27,24.0494
2018.1.28,24.5515
2018.1.29,37.2911
2018.1.30,36.8744
2018.1.31,35.5674
2018.2.1,35.7488
2018.2.2,32.8801
2018.2.3,24.8432
2018.2.4,25.9588
2018.2.5,37.5665
2018.2.6,37.683
2018.2.7,36.706
2018.2.8,34.8544
2018.2.9,29.7838
2018.2.10,21.5473
2018.2.11,22.4263
2018.2.12,31.0172
2018.2.13,28.5607
2018.2.14,23.7537
2018.2.15,15.8296
2018.2.16,13.7889
2018.2.17,17.5114
2018.2.18,20.7969
2018.2.19,36.6929
2018.2.20,35.8865
2018.2.21,35.44
2018.2.22,36.2712
2018.2.23,31.9708
